"postal_code","town","lease_commenced"
"640415","JURONG WEST","1985-03-01"
"600224","JURONG EAST","1984-10-01"
"680426","CHOA CHU KANG","1993-06-03"
"650246","BUKIT BATOK","1985-01-01"
"650302","BUKIT BATOK","1985-10-01"
"650362","BUKIT BATOK","1985-08-01"
"650220","BUKIT BATOK","1985-03-01"
"650129","BUKIT BATOK","1984-10-01"
"650102","BUKIT BATOK","1985-07-01"
"524450","TAMPINES","1996-09-01"
"530811","HOUGANG","1988-11-01"
"684485","CHOA CHU KANG","1999-06-01"
"680214","CHOA CHU KANG","1990-03-01"
"682485","CHOA CHU KANG","1999-04-01"
"650417","BUKIT BATOK","1986-06-01"
"650317","BUKIT BATOK","1987-10-01"
"680673","CHOA CHU KANG","1999-10-01"
"550233","SERANGOON","1985-06-01"
"680453","CHOA CHU KANG","2000-02-01"
"461010","BEDOK","1995-12-01"
"531470","HOUGANG","2015-05-01"
"650363","BUKIT BATOK","1987-10-01"
"680643","CHOA CHU KANG","1998-01-01"
"680484","CHOA CHU KANG","1999-05-01"
"650187","BUKIT BATOK","1989-02-01"
"650306","BUKIT BATOK","1985-03-01"
"680469","CHOA CHU KANG","1999-04-01"
"680413","CHOA CHU KANG","1992-06-28"
"680412","CHOA CHU KANG","1992-06-28"
"680680","CHOA CHU KANG","1999-10-01"
"600033","JURONG EAST","1977-06-01"
"650229","BUKIT BATOK","1985-04-01"
"680343","CHOA CHU KANG","1993-05-26"
"600280","JURONG EAST","1998-09-01"
"560629","ANG MO KIO","1981-10-01"
"730730","WOODLANDS","1997-09-01"
"650161","BUKIT BATOK","1984-07-01"
"410114","BEDOK","1989-02-01"
"650234","BUKIT BATOK","1985-12-01"
"163006","BUKIT MERAH","1995-08-01"
"682476","CHOA CHU KANG","2013-07-01"
"680456","CHOA CHU KANG","2000-04-01"
"680672","CHOA CHU KANG","2000-02-01"
"680706","CHOA CHU KANG","1995-05-01"
"680529","CHOA CHU KANG","1995-04-01"
"680411","CHOA CHU KANG","1992-06-28"
"210663","CENTRAL AREA","1982-05-01"
"650191","BUKIT BATOK","1997-04-01"
"680701","CHOA CHU KANG","1995-05-01"
"542332","SENGKANG","2015-06-01"
"680611","CHOA CHU KANG","1996-06-01"
"680234","CHOA CHU KANG","1989-04-01"
"680124","CHOA CHU KANG","1989-02-01"
"120520","CLEMENTI","1986-01-01"
"680220","CHOA CHU KANG","1990-03-01"
"520280","TAMPINES","1984-07-01"
"680444","CHOA CHU KANG","1997-04-01"
"650148","BUKIT BATOK","1984-07-01"
"680406","CHOA CHU KANG","1993-06-03"
"600038","JURONG EAST","1966-10-01"
"680752","CHOA CHU KANG","1995-06-01"
"652290","BUKIT BATOK","1998-02-01"
"732890","WOODLANDS",NULL
"680703","CHOA CHU KANG","1995-05-01"
"683685","CHOA CHU KANG","2002-10-01"
"650225","BUKIT BATOK","1985-08-01"
"650245","BUKIT BATOK","1985-05-01"
"470615","BEDOK","1981-04-01"
"670406","BUKIT PANJANG","1989-01-01"
"680470","CHOA CHU KANG","1999-02-01"
"650370","BUKIT BATOK","1985-11-01"
"640469","JURONG WEST","1985-05-01"
"650323","BUKIT BATOK","1987-11-01"
"680524","CHOA CHU KANG","1995-02-01"
"680424","CHOA CHU KANG","1992-06-28"
"470774","BEDOK","2000-12-01"
"656288","BUKIT BATOK","1997-11-01"
"650407","BUKIT BATOK","1988-04-01"
"600248","JURONG EAST","1983-03-01"
"680287","CHOA CHU KANG","1990-08-01"
"650142","BUKIT BATOK","1984-11-01"
"650107","BUKIT BATOK","1985-03-01"
"600279","JURONG EAST","1998-12-01"
"272030","QUEENSTOWN",NULL
"680203","CHOA CHU KANG","1989-08-01"
"650192","BUKIT BATOK","1997-04-01"
"680353","CHOA CHU KANG","1993-05-26"
"600411","JURONG EAST","1979-05-01"
"600212","JURONG EAST","1982-12-01"
"510765","PASIR RIS","1996-06-01"
"650144","BUKIT BATOK","1984-05-01"
"680474","CHOA CHU KANG","1999-04-01"
"650628","BUKIT BATOK","1997-09-01"
"670273","BUKIT PANJANG","1988-11-01"
"680619","CHOA CHU KANG","1996-04-01"
"650103","BUKIT BATOK","1985-01-01"
"680572","CHOA CHU KANG","2015-01-01"
"680761","CHOA CHU KANG","1995-06-01"
"600240","JURONG EAST","1982-03-01"
"654290","BUKIT BATOK","1997-12-01"
"654440","BUKIT BATOK",NULL
"760799","YISHUN","1987-01-01"
"760239","YISHUN","1985-05-01"
"600041","JURONG EAST","1981-07-01"
"650154","BUKIT BATOK","1998-01-01"
"120515","CLEMENTI","1980-01-01"
"680294","CHOA CHU KANG","1990-05-01"
"604285","JURONG EAST","1998-12-01"
"600268","JURONG EAST","1999-02-01"
"680626","CHOA CHU KANG","1997-05-01"
"650406","BUKIT BATOK","1993-03-28"
